database,schema,table,physical_name,logical_name,physical_type,nullable,default,primary_key,unique,reference,lgpd,classification_basis,encryption,masking,retention,status,evidence
postgresql,identity,users,id,Id,UUID,False,gen_random_uuid(),True,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:37
postgresql,identity,users,all_in_one_id,All in one id,UUID,False,gen_random_uuid(),False,True,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:38
postgresql,identity,users,full_name,Full name,VARCHAR(200),False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:39
postgresql,identity,users,cpf_document,Cpf document,VARCHAR(32),False,,False,True,,dado pessoal identificador,política v1 categoria documento_identificador; padrões: cpf,criptografar ou armazenar hash conforme necessidade de recuperação,exibir parcialmente por padrão,"vinculada à finalidade, obrigação fiscal/legal e direitos do titular",existente,database/postgres/migrations/001_identity_and_schemas.sql:40
postgresql,identity,users,birth_date,Birth date,DATE,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:41
postgresql,identity,users,email,Email,CITEXT,False,,False,True,,dado pessoal,política v1 categoria contato_localizacao; padrões: email,criptografar quando associado a pessoa identificada ou rastreamento,"mascarar em logs, listagens e exportações não autorizadas",limitar à finalidade operacional e consentimento aplicável,existente,database/postgres/migrations/001_identity_and_schemas.sql:42
postgresql,identity,users,phone_e164,Phone e164,VARCHAR(20),False,,False,True,,dado pessoal,política v1 categoria contato_localizacao; padrões: phone,criptografar quando associado a pessoa identificada ou rastreamento,"mascarar em logs, listagens e exportações não autorizadas",limitar à finalidade operacional e consentimento aplicável,existente,database/postgres/migrations/001_identity_and_schemas.sql:43
postgresql,identity,users,password_hash,Password hash,TEXT,False,,False,False,,restrito,política v1 categoria credencial_segredo; padrões: password,obrigatória em trânsito e repouso; preferir hash não reversível quando aplicável,nunca retornar valor integral nem registrar em logs,mínima necessária; revogação e expurgo definidos por política de segurança,existente,database/postgres/migrations/001_identity_and_schemas.sql:44
postgresql,identity,users,face_hash,Face hash,TEXT,False,,False,True,,dado pessoal sensível,política v1 categoria biometria_saude; padrões: face_hash,obrigatória com chave gerenciada e segregação de acesso,não exibir sem finalidade e autorização reforçada,"definir por obrigação legal, finalidade clínica e consentimento",existente,database/postgres/migrations/001_identity_and_schemas.sql:45
postgresql,identity,users,liveness_score,Liveness score,"NUMERIC(5, 4)",False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:46
postgresql,identity,users,document_status,Document status,VARCHAR(40),False,'pending_validation',False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:47
postgresql,identity,users,kyc_status,Kyc status,VARCHAR(40),False,'pending_validation',False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:48
postgresql,identity,users,mfa_required,Mfa required,BOOLEAN,False,TRUE,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:49
postgresql,identity,users,terms_accepted_at,Terms accepted at,TIMESTAMPTZ,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:50
postgresql,identity,users,lgpd_consent_at,Lgpd consent at,TIMESTAMPTZ,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:51
postgresql,identity,users,default_wallet_id,Default wallet id,UUID,True,,False,False,,financeiro confidencial,política v1 categoria financeiro; padrões: wallet,obrigatória em trânsito e repouso,restringir por papel e finalidade; não registrar valor sensível desnecessário,"definir por obrigação contábil, fiscal e prevenção a fraude",existente,database/postgres/migrations/001_identity_and_schemas.sql:52
postgresql,identity,users,primary_led_card_id,Primary led card id,UUID,True,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:53
postgresql,identity,users,status,Status,VARCHAR(40),False,'pending_validation',False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:54
postgresql,identity,users,metadata,Metadata,JSONB,False,'{}'::jsonb,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:55
postgresql,identity,users,created_at,Created at,TIMESTAMPTZ,False,NOW(),False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:56
postgresql,identity,users,updated_at,Updated at,TIMESTAMPTZ,False,NOW(),False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:57
postgresql,identity,users,deleted_at,Deleted at,TIMESTAMPTZ,True,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:58
postgresql,identity,users,created_by,Created by,UUID,True,,False,False,,pseudônimo vinculável,política v1 categoria identidade_relacional; padrões: created_by,controle de acesso e segregação por tenant; criptografia do banco,não expor identificadores internos sem necessidade,acompanha entidade e trilha de auditoria com política de anonimização,existente,database/postgres/migrations/001_identity_and_schemas.sql:59
postgresql,identity,users,updated_by,Updated by,UUID,True,,False,False,,pseudônimo vinculável,política v1 categoria identidade_relacional; padrões: updated_by,controle de acesso e segregação por tenant; criptografia do banco,não expor identificadores internos sem necessidade,acompanha entidade e trilha de auditoria com política de anonimização,existente,database/postgres/migrations/001_identity_and_schemas.sql:60
postgresql,identity,users,idempotency_key,Idempotency key,VARCHAR(100),True,,False,True,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/008_identity_idempotency.sql:3
postgresql,identity,documents,id,Id,UUID,False,gen_random_uuid(),True,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:66
postgresql,identity,documents,user_id,User id,UUID,False,,False,False,identity.users.id,pseudônimo vinculável,política v1 categoria identidade_relacional; padrões: user_id,controle de acesso e segregação por tenant; criptografia do banco,não expor identificadores internos sem necessidade,acompanha entidade e trilha de auditoria com política de anonimização,existente,database/postgres/migrations/001_identity_and_schemas.sql:67
postgresql,identity,documents,document_type,Document type,VARCHAR(60),False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:68
postgresql,identity,documents,document_number_hash,Document number hash,TEXT,False,,False,False,,dado pessoal identificador,política v1 categoria documento_identificador; padrões: document_number,criptografar ou armazenar hash conforme necessidade de recuperação,exibir parcialmente por padrão,"vinculada à finalidade, obrigação fiscal/legal e direitos do titular",existente,database/postgres/migrations/001_identity_and_schemas.sql:69
postgresql,identity,documents,storage_key,Storage key,TEXT,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:70
postgresql,identity,documents,expires_at,Expires at,DATE,True,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:71
postgresql,identity,documents,verification_status,Verification status,VARCHAR(40),False,'pending_review',False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:72
postgresql,identity,documents,status,Status,VARCHAR(40),False,'active',False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:73
postgresql,identity,documents,metadata,Metadata,JSONB,False,'{}'::jsonb,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,database/postgres/migrations/001_identity_and_schemas.sql:74
