database,collection,field,bson_type,required,enum,sensitive_declared,lgpd,classification_basis,encryption,masking,retention,indexes,evidence
all_in_one,ai_memory,user_id,string,True,,False,pseudônimo vinculável,política v1 categoria identidade_relacional; padrões: user_id,controle de acesso e segregação por tenant; criptografia do banco,não expor identificadores internos sem necessidade,acompanha entidade e trilha de auditoria com política de anonimização,"[{""keys"": {""user_id"": 1, ""created_at"": -1}}, {""keys"": {""retention_until"": 1}, ""options"": {""expireAfterSeconds"": 0}}]",database/mongodb/init/001_ai_social_telemetry.js:16
all_in_one,ai_memory,memory_type,object/complex,True,preference;context;summary;moderation,False,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,"[{""keys"": {""user_id"": 1, ""created_at"": -1}}, {""keys"": {""retention_until"": 1}, ""options"": {""expireAfterSeconds"": 0}}]",database/mongodb/init/001_ai_social_telemetry.js:17
all_in_one,ai_memory,content_encrypted,string,False,,True,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,"[{""keys"": {""user_id"": 1, ""created_at"": -1}}, {""keys"": {""retention_until"": 1}, ""options"": {""expireAfterSeconds"": 0}}]",database/mongodb/init/001_ai_social_telemetry.js:18
all_in_one,ai_memory,consent_scope,string,True,,False,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,"[{""keys"": {""user_id"": 1, ""created_at"": -1}}, {""keys"": {""retention_until"": 1}, ""options"": {""expireAfterSeconds"": 0}}]",database/mongodb/init/001_ai_social_telemetry.js:19
all_in_one,ai_memory,retention_until,date,False,,False,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,"[{""keys"": {""user_id"": 1, ""created_at"": -1}}, {""keys"": {""retention_until"": 1}, ""options"": {""expireAfterSeconds"": 0}}]",database/mongodb/init/001_ai_social_telemetry.js:20
all_in_one,ai_memory,created_at,date,True,,False,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,"[{""keys"": {""user_id"": 1, ""created_at"": -1}}, {""keys"": {""retention_until"": 1}, ""options"": {""expireAfterSeconds"": 0}}]",database/mongodb/init/001_ai_social_telemetry.js:21
all_in_one,ai_memory,metadata,object,False,,False,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,"[{""keys"": {""user_id"": 1, ""created_at"": -1}}, {""keys"": {""retention_until"": 1}, ""options"": {""expireAfterSeconds"": 0}}]",database/mongodb/init/001_ai_social_telemetry.js:22
all_in_one,social_videos,user_id,string,True,,False,pseudônimo vinculável,política v1 categoria identidade_relacional; padrões: user_id,controle de acesso e segregação por tenant; criptografia do banco,não expor identificadores internos sem necessidade,acompanha entidade e trilha de auditoria com política de anonimização,"[{""keys"": {""user_id"": 1, ""created_at"": -1}}]",database/mongodb/init/001_ai_social_telemetry.js:32
all_in_one,social_videos,asset_key,string,True,,True,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,"[{""keys"": {""user_id"": 1, ""created_at"": -1}}]",database/mongodb/init/001_ai_social_telemetry.js:33
all_in_one,social_videos,caption,string,False,,False,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,"[{""keys"": {""user_id"": 1, ""created_at"": -1}}]",database/mongodb/init/001_ai_social_telemetry.js:34
