classification,encryption,evidence,key_pattern,operations,owner,purpose,retention,risk,runtime_verified,source_of_truth,storage
credencial e dado pessoal,não criptografado pela aplicação,apps/valley/src/lib/api.ts:12,valley.production.session.v1,GET;SET;REMOVE/CLEAR quando implementado,frontend indicado pela evidência,"sessão web com tokens, identificadores e email",até logout/remoção explícita,acessível a JavaScript/XSS; não usar como fonte oficial nem persistir segredo além da sessão necessária,False,False,localStorage
identificador pseudônimo,não criptografado pela aplicação,apps/valley/src/lib/api.ts:13,valley.production.device.v1,GET;SET;REMOVE/CLEAR quando implementado,frontend indicado pela evidência,identificador local do dispositivo,sem TTL; recriado quando ausente,acessível a JavaScript/XSS; não usar como fonte oficial nem persistir segredo além da sessão necessária,False,False,localStorage
dado pessoal,não criptografado pela aplicação,apps/valley-android/app/src/main/java/com/example/valley/ui/main/MainScreen.kt:164,valley.session.email,GET;SET;REMOVE/CLEAR quando implementado,frontend indicado pela evidência,email injetado pelo shell Android,até clear/logout,acessível a JavaScript/XSS; não usar como fonte oficial nem persistir segredo além da sessão necessária,False,False,sessionStorage
metadado técnico,não criptografado pela aplicação,apps/valley-android/app/src/main/java/com/example/valley/ui/main/MainScreen.kt:165,valley.session.source,GET;SET;REMOVE/CLEAR quando implementado,frontend indicado pela evidência,origem da sessão injetada,até clear/logout,acessível a JavaScript/XSS; não usar como fonte oficial nem persistir segredo além da sessão necessária,False,False,sessionStorage
configuração,não criptografado pela aplicação,apps/valley/src/lib/valleyPlatform.ts:149,valley.session.mode,GET;SET;REMOVE/CLEAR quando implementado,frontend indicado pela evidência,ativa modo de demonstração,sem TTL; remoção explícita,acessível a JavaScript/XSS; não usar como fonte oficial nem persistir segredo além da sessão necessária,False,False,localStorage
dado de demonstração potencialmente pessoal,não criptografado pela aplicação,apps/valley/src/lib/valleyPlatform.ts:144,valley.demo.users,GET;SET;REMOVE/CLEAR quando implementado,frontend indicado pela evidência,usuários simulados,sem TTL,acessível a JavaScript/XSS; não usar como fonte oficial nem persistir segredo além da sessão necessária,False,False,localStorage
dado de demonstração,não criptografado pela aplicação,apps/valley/src/lib/valleyPlatform.ts:145,valley.demo.offers,GET;SET;REMOVE/CLEAR quando implementado,frontend indicado pela evidência,ofertas simuladas,sem TTL,acessível a JavaScript/XSS; não usar como fonte oficial nem persistir segredo além da sessão necessária,False,False,localStorage
dado transacional de demonstração,não criptografado pela aplicação,apps/valley/src/lib/valleyPlatform.ts:146,valley.demo.orders,GET;SET;REMOVE/CLEAR quando implementado,frontend indicado pela evidência,pedidos simulados,sem TTL,acessível a JavaScript/XSS; não usar como fonte oficial nem persistir segredo além da sessão necessária,False,False,localStorage
conteúdo de demonstração,não criptografado pela aplicação,apps/valley/src/lib/valleyPlatform.ts:147,valley.demo.reviews,GET;SET;REMOVE/CLEAR quando implementado,frontend indicado pela evidência,avaliações simuladas,sem TTL,acessível a JavaScript/XSS; não usar como fonte oficial nem persistir segredo além da sessão necessária,False,False,localStorage
conteúdo de demonstração potencialmente pessoal,não criptografado pela aplicação,apps/valley/src/lib/valleyPlatform.ts:148,valley.demo.support,GET;SET;REMOVE/CLEAR quando implementado,frontend indicado pela evidência,casos de suporte simulados,sem TTL,acessível a JavaScript/XSS; não usar como fonte oficial nem persistir segredo além da sessão necessária,False,False,localStorage
catálogo público e parâmetros de busca,não criptografado pela aplicação,apps/valley/src/lib/valleyPlatform.ts:140,valley.catalog.v1.{query},GET;SET;REMOVE/CLEAR quando implementado,frontend indicado pela evidência,cache de páginas do catálogo,timestamp cachedAt gravado; expiração não comprovada,acessível a JavaScript/XSS; não usar como fonte oficial nem persistir segredo além da sessão necessária,False,False,localStorage
pode conter dados de qualquer módulo,não criptografado pela aplicação,apps/all-in-one/src/components/SmartCRUD.tsx:172,all-in-one:{module}:{resourceType},GET;SET;REMOVE/CLEAR quando implementado,frontend indicado pela evidência,fallback CRUD local por recurso,sem TTL,acessível a JavaScript/XSS; não usar como fonte oficial nem persistir segredo além da sessão necessária,False,False,localStorage
