database,schema,table,physical_name,logical_name,physical_type,nullable,default,primary_key,unique,reference,lgpd,classification_basis,encryption,masking,retention,status,evidence
sqlite_contract_store,local_contract,resources,id,Id,TEXT,False,,True,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:52
sqlite_contract_store,local_contract,resources,module,Module,TEXT,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:52
sqlite_contract_store,local_contract,resources,resource_type,Resource type,TEXT,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:52
sqlite_contract_store,local_contract,resources,user_id,User id,TEXT,False,,False,False,,pseudônimo vinculável,política v1 categoria identidade_relacional; padrões: user_id,controle de acesso e segregação por tenant; criptografia do banco,não expor identificadores internos sem necessidade,acompanha entidade e trilha de auditoria com política de anonimização,existente,modules/shared/store.py:52
sqlite_contract_store,local_contract,resources,entity_id,Entity id,TEXT,True,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:52
sqlite_contract_store,local_contract,resources,status,Status,TEXT,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:52
sqlite_contract_store,local_contract,resources,payload,Payload,TEXT,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:52
sqlite_contract_store,local_contract,resources,created_by,Created by,TEXT,False,,False,False,,pseudônimo vinculável,política v1 categoria identidade_relacional; padrões: created_by,controle de acesso e segregação por tenant; criptografia do banco,não expor identificadores internos sem necessidade,acompanha entidade e trilha de auditoria com política de anonimização,existente,modules/shared/store.py:52
sqlite_contract_store,local_contract,resources,updated_by,Updated by,TEXT,False,,False,False,,pseudônimo vinculável,política v1 categoria identidade_relacional; padrões: updated_by,controle de acesso e segregação por tenant; criptografia do banco,não expor identificadores internos sem necessidade,acompanha entidade e trilha de auditoria com política de anonimização,existente,modules/shared/store.py:52
sqlite_contract_store,local_contract,resources,created_at,Created at,TEXT,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:52
sqlite_contract_store,local_contract,resources,updated_at,Updated at,TEXT,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:52
sqlite_contract_store,local_contract,resources,deleted_at,Deleted at,TEXT,True,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:52
sqlite_contract_store,local_contract,resources,idempotency_key,Idempotency key,TEXT,True,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:52
sqlite_contract_store,local_contract,unique_attributes,module,Module,TEXT,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:72
sqlite_contract_store,local_contract,unique_attributes,resource_type,Resource type,TEXT,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:72
sqlite_contract_store,local_contract,unique_attributes,attribute,Attribute,TEXT,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:72
sqlite_contract_store,local_contract,unique_attributes,value,Value,TEXT,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:72
sqlite_contract_store,local_contract,unique_attributes,resource_id,Resource id,TEXT,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:72
sqlite_contract_store,local_contract,audit_events,id,Id,TEXT,False,,True,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:80
sqlite_contract_store,local_contract,audit_events,module,Module,TEXT,False,,False,False,,não classificado automaticamente,política v1; nenhuma regra automática aplicável,avaliar pelo proprietário do domínio,avaliar pelo proprietário do domínio,não definida; registrar lacuna,existente,modules/shared/store.py:80
sqlite_contract_store,local_contract,audit_events,actor_user_id,Actor user id,TEXT,False,,False,False,,pseudônimo vinculável,política v1 categoria identidade_relacional; padrões: user_id,controle de acesso e segregação por tenant; criptografia do banco,não expor identificadores internos sem necessidade,acompanha entidade e trilha de auditoria com política de anonimização,existente,modules/shared/store.py:80
